No,Event Type,Attack Label,GT Severity,Pred Severity,GT Binary,Pred Binary,Correct Severity,Correct Binary,Evidence,Action
1,login,Brute Force,MEDIUM,HIGH,ATTACK,ATTACK,False,True,0.8,ALERT_OPERATOR
2,login,Brute Force,MEDIUM,HIGH,ATTACK,ATTACK,False,True,0.8,ALERT_OPERATOR
3,login,Brute Force,MEDIUM,HIGH,ATTACK,ATTACK,False,True,0.8,ALERT_OPERATOR
4,login,Brute Force,MEDIUM,HIGH,ATTACK,ATTACK,False,True,0.8,ALERT_OPERATOR
5,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
6,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
7,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
8,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
9,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
10,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
11,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
12,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
13,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
14,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
15,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
16,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
17,login,Brute Force (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
18,login,SQL Injection (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
19,login,SQL Injection (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
20,login,SQL Injection (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
21,login,SQL Injection (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
22,login,SQL Injection (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
23,login,SQL Injection (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
24,login,SQL Injection (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
25,login,SQL Injection (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
26,web_attack,HTTP Smuggling,HIGH,HIGH,ATTACK,ATTACK,True,True,0.8,ALERT_OPERATOR
27,web_attack,Header Abuse,HIGH,HIGH,ATTACK,ATTACK,True,True,0.8,ALERT_OPERATOR
28,login,Normal / Clean,LOW,HIGH,BENIGN,ATTACK,False,False,0.8,ALERT_OPERATOR
29,web_attack,SSRF,HIGH,HIGH,ATTACK,ATTACK,True,True,0.8,ALERT_OPERATOR
30,web_attack,SSRF,HIGH,HIGH,ATTACK,ATTACK,True,True,0.8,ALERT_OPERATOR
31,dns_query,DNS Tunneling,HIGH,HIGH,ATTACK,ATTACK,True,True,0.9,THROTTLE
32,dns_query,DNS Tunneling (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
33,dns_query,DNS Tunneling (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
34,dns_query,DNS Tunneling (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
35,dns_query,DNS Tunneling (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
36,dns_query,DNS Tunneling (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
37,dns_query,DNS Tunneling (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
38,dns_query,DNS Tunneling (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
39,dns_query,DNS Tunneling (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
40,dns_query,DNS Tunneling (+ IP Escalation),CRITICAL,CRITICAL,ATTACK,ATTACK,True,True,0.92,NETWORK_BLOCK_FULL
